person_id,id,name,character,role,platform
35549,tm89464,Maureen O'Hara,Doris Walker,ACTOR,disney
57832,tm89464,John Payne,Fred Gailey,ACTOR,disney
57833,tm89464,Edmund Gwenn,Kris Kringle,ACTOR,disney
25096,tm89464,Natalie Wood,Susan Walker,ACTOR,disney
27185,tm89464,Porter Hall,Granville Sawyer,ACTOR,disney
22459,tm89464,Philip Tonge,Julian Shellhammer,ACTOR,disney
57834,tm89464,Alvin Greenman,Alfred (uncredited),ACTOR,disney
57841,tm89464,Harry Antrim,R.H. Macy (uncredited),ACTOR,disney
57860,tm89464,James Seay,Dr. Pierce (uncredited),ACTOR,disney
27567,tm89464,Jerome Cowan,Thomas Mara,ACTOR,disney
28501,tm89464,Gene Lockhart,Judge Henry X. Harper,ACTOR,disney
57835,tm89464,William Frawley,Charlie Halloran,ACTOR,disney
57836,tm89464,Lela Bliss,Mrs. Shellhammer (uncredited),ACTOR,disney
57842,tm89464,Jack Albertson,Postal Sorter Al (uncredited),ACTOR,disney
2796837,tm89464,Sam Bagley,Courtroom Spectator (uncredited),ACTOR,disney
1414091,tm89464,Arline Bletcher,Courtroom Spectator (uncredited),ACTOR,disney
57845,tm89464,Walden Boyle,Judge's Clerk (uncredited),ACTOR,disney
1572262,tm89464,Kevin Burke,Child on Santa's Lap (uncredited),ACTOR,disney
57846,tm89464,Dorothy Christy,Secretary (uncredited),ACTOR,disney
57847,tm89464,Dick Cogan,Department Store Head (uncredited),ACTOR,disney
16998,tm89464,Jeff Corey,Reporter (uncredited),ACTOR,disney
57848,tm89464,Mike Donovan,Court Bailiff (uncredited),ACTOR,disney
564599,tm89464,Teddy Driver,Terry (uncredited),ACTOR,disney
57839,tm89464,Mary Field,Dutch Girl's Adoptive Mother (uncredited),ACTOR,disney
57849,tm89464,William Forrest,Dr. Rogers at Bellevue (uncredited),ACTOR,disney
1572242,tm89464,Curt Furberg,Courtroom Spectator (uncredited),ACTOR,disney
57850,tm89464,Jack Gargan,Chauffeur (uncredited),ACTOR,disney
57851,tm89464,Robert Gist,Department Store Window Dresser (uncredited),ACTOR,disney
57852,tm89464,Jane Green,Mrs. Harper (uncredited),ACTOR,disney
57853,tm89464,Alvin Hammer,George (uncredited),ACTOR,disney
57837,tm89464,Theresa Harris,Cleo (uncredited),ACTOR,disney
57838,tm89464,Percy Helton,Intoxicated Santa (uncredited),ACTOR,disney
32910,tm89464,Herbert Heyes,Mr. Gimbel (uncredited),ACTOR,disney
13433,tm89464,William Hoehne Jr.,Sam the Clerk (uncredited),ACTOR,disney
44083,tm89464,Clark Howat,Patron in Macy's Lunchroom (uncredited),ACTOR,disney
57840,tm89464,Robert Hyatt,Thomas 'Tommy' Mara Jr. (uncredited),ACTOR,disney
182206,tm89464,Richard Irving,Reporter (uncredited),ACTOR,disney
49080,tm89464,Robert Karnes,Second Bellevue Intern (uncredited),ACTOR,disney
1571823,tm89464,Fran Lee,Customer (uncredited),ACTOR,disney
652713,tm89464,King Lockwood,Courtroom Spectator (uncredited),ACTOR,disney
57843,tm89464,Marlene Lyden,Dutch Girl (uncredited),ACTOR,disney
1572246,tm89464,Robert Lynn,Macy Salesman (uncredited),ACTOR,disney
41680,tm89464,Mae Marsh,Woman in Santa Line (uncredited),ACTOR,disney
