id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm89464,Miracle on 34th Street,MOVIE,"Kris Kringle, seemingly the embodiment of Santa Claus, is asked to portray the jolly old fellow at Macy's following his performance in the Thanksgiving Day parade. His portrayal is so complete that many begin to question if he truly is Santa Claus, while others question his sanity.",1947,G,96,"['drama', 'comedy', 'family']",['US'],,tt0039628,7.9,51756,14.95,7.3,disney
tm6609,The Skeleton Dance,MOVIE,"The clock strikes midnight, the bats fly from the belfry, a dog howls at the full moon, and two black cats fight in the cemetery: a perfect time for four skeletons to come out and dance a bit.",1929,,5,"['comedy', 'horror']",['US'],,,,,9.123,7.3,disney
tm61729,The Adventures of Ichabod and Mr. Toad,MOVIE,"The Wind in the Willows: Concise version of Kenneth Grahame's story of the same name. J. Thaddeus Toad, owner of Toad Hall, is prone to fads, such as the newfangled motor car. This desire for the very latest lands him in much trouble with the wrong crowd, and it is up to his friends, Mole, Rat and Badger to save him from himself. - The Legend of Sleepy Hollow: Retelling of Washington Irving's story set in a tiny New England town. Ichabod Crane, the new schoolmaster, falls for the town beauty, Katrina Van Tassel, and the town Bully Brom Bones decides that he is a little too successful and needs ""convincing"" that Katrina is not for him.",1949,G,68,"['fantasy', 'animation', 'horror', 'comedy', 'family']",['US'],,tt0041094,6.9,17413,23.351,6.5,disney
tm61052,Cinderella,MOVIE,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",1950,G,74,"['animation', 'romance', 'family', 'fantasy', 'comedy', 'music', 'drama']",['US'],,tt0042332,7.3,170408,71.072,7,disney
tm87946,Dumbo,MOVIE,"Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles.",1941,G,64,"['animation', 'family', 'fantasy', 'drama']",['US'],,tt0033563,7.2,139347,70.931,6.996,disney
tm74391,Fantasia,MOVIE,"Walt Disney's timeless masterpiece is an extravaganza of sight and sound! See the music come to life, hear the pictures burst into song and experience the excitement that is Fantasia over and over again.",1940,G,124,"['animation', 'family', 'fantasy', 'music']",['US'],,tt0032455,7.7,101780,35.954,7.4,disney
tm79357,Bambi,MOVIE,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",1942,G,70,"['drama', 'family', 'animation']",['US'],,tt0034492,7.3,151027,57.516,7.006,disney
tm160778,Donald's Cousin Gus,MOVIE,"Donald Duck's gluttonous cousin, Gus Goose, comes for a visit and practically eats him out of house and home. When the direct approach to getting rid of his voracious houseguest  fails, Donald resorts to desperate measures to dislodge him.",1939,,8,['comedy'],['US'],,,,,6.729,6.464,disney
tm67803,Snow White and the Seven Dwarfs,MOVIE,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",1937,G,83,"['fantasy', 'animation', 'family', 'romance', 'drama', 'thriller']",['US'],,tt0029583,7.6,211182,81.763,7.12,disney
tm62671,Treasure Island,MOVIE,"Enchanted by the idea of locating treasure buried by Captain Flint, Squire Trelawney, Dr. Livesey and Jim Hawkins charter a sailing voyage to a Caribbean island. Unfortunately, a large number of Flint's old pirate crew are aboard the ship, including Long John Silver.",1950,,96,"['family', 'action']","['GB', 'US']",,tt0043067,6.9,9172,15.208,6.543,disney
tm82546,Pinocchio,MOVIE,"When loving Geppetto creates a wooden puppet, his wish is granted when it comes to life as a little wooden boy named Pinocchio. With his faithful friend and conscience Jiminy Cricket by his side, Pinocchio, embarks on fantastic adventures that his bravery, loyalty and honesty until triumphs in his triumphs in his quest for his heart's desire: to become a real boy.",1940,G,88,"['animation', 'family', 'fantasy', 'comedy']",['US'],,tt0032910,7.5,156307,68.564,7.1,disney
tm67261,Goofy Gymnastics,MOVIE,"Inspired by a magazine ad, Goofy sends for a mail order body building course. First is weight lifting; after Goofy finally gets the weights up, a fly lands and sends him crashing through several floors in the apartment building. Chinups: the bar itself goes up and down. Then a rubber-band stretch device, which Goofy quickly tangles up in, sending him crashing through the building and several other pieces of equipment.",1949,,6,['animation'],['US'],,,,,5.058,6.8,disney
