person_id,id,name,character,role,platform
35549,tm89464,Maureen O'Hara,Doris Walker,ACTOR,hulu
57832,tm89464,John Payne,Fred Gailey,ACTOR,hulu
57833,tm89464,Edmund Gwenn,Kris Kringle,ACTOR,hulu
25096,tm89464,Natalie Wood,Susan Walker,ACTOR,hulu
27185,tm89464,Porter Hall,Granville Sawyer,ACTOR,hulu
22459,tm89464,Philip Tonge,Julian Shellhammer,ACTOR,hulu
57834,tm89464,Alvin Greenman,Alfred (uncredited),ACTOR,hulu
57841,tm89464,Harry Antrim,R.H. Macy (uncredited),ACTOR,hulu
57860,tm89464,James Seay,Dr. Pierce (uncredited),ACTOR,hulu
27567,tm89464,Jerome Cowan,Thomas Mara,ACTOR,hulu
28501,tm89464,Gene Lockhart,Judge Henry X. Harper,ACTOR,hulu
57835,tm89464,William Frawley,Charlie Halloran,ACTOR,hulu
57836,tm89464,Lela Bliss,Mrs. Shellhammer (uncredited),ACTOR,hulu
57842,tm89464,Jack Albertson,Postal Sorter Al (uncredited),ACTOR,hulu
2796837,tm89464,Sam Bagley,Courtroom Spectator (uncredited),ACTOR,hulu
1414091,tm89464,Arline Bletcher,Courtroom Spectator (uncredited),ACTOR,hulu
57845,tm89464,Walden Boyle,Judge's Clerk (uncredited),ACTOR,hulu
1572262,tm89464,Kevin Burke,Child on Santa's Lap (uncredited),ACTOR,hulu
57846,tm89464,Dorothy Christy,Secretary (uncredited),ACTOR,hulu
57847,tm89464,Dick Cogan,Department Store Head (uncredited),ACTOR,hulu
16998,tm89464,Jeff Corey,Reporter (uncredited),ACTOR,hulu
57848,tm89464,Mike Donovan,Court Bailiff (uncredited),ACTOR,hulu
564599,tm89464,Teddy Driver,Terry (uncredited),ACTOR,hulu
57839,tm89464,Mary Field,Dutch Girl's Adoptive Mother (uncredited),ACTOR,hulu
57849,tm89464,William Forrest,Dr. Rogers at Bellevue (uncredited),ACTOR,hulu
1572242,tm89464,Curt Furberg,Courtroom Spectator (uncredited),ACTOR,hulu
57850,tm89464,Jack Gargan,Chauffeur (uncredited),ACTOR,hulu
57851,tm89464,Robert Gist,Department Store Window Dresser (uncredited),ACTOR,hulu
57852,tm89464,Jane Green,Mrs. Harper (uncredited),ACTOR,hulu
57853,tm89464,Alvin Hammer,George (uncredited),ACTOR,hulu
57837,tm89464,Theresa Harris,Cleo (uncredited),ACTOR,hulu
57838,tm89464,Percy Helton,Intoxicated Santa (uncredited),ACTOR,hulu
32910,tm89464,Herbert Heyes,Mr. Gimbel (uncredited),ACTOR,hulu
13433,tm89464,William Hoehne Jr.,Sam the Clerk (uncredited),ACTOR,hulu
44083,tm89464,Clark Howat,Patron in Macy's Lunchroom (uncredited),ACTOR,hulu
57840,tm89464,Robert Hyatt,Thomas 'Tommy' Mara Jr. (uncredited),ACTOR,hulu
182206,tm89464,Richard Irving,Reporter (uncredited),ACTOR,hulu
49080,tm89464,Robert Karnes,Second Bellevue Intern (uncredited),ACTOR,hulu
1571823,tm89464,Fran Lee,Customer (uncredited),ACTOR,hulu
652713,tm89464,King Lockwood,Courtroom Spectator (uncredited),ACTOR,hulu
57843,tm89464,Marlene Lyden,Dutch Girl (uncredited),ACTOR,hulu
1572246,tm89464,Robert Lynn,Macy Salesman (uncredited),ACTOR,hulu
41680,tm89464,Mae Marsh,Woman in Santa Line (uncredited),ACTOR,hulu
1571858,tm89464,Ida McGuire,Drum Majorette (uncredited),ACTOR,hulu
1572283,tm89464,Joseph McInerney,Bailiff (uncredited),ACTOR,hulu
611896,tm89464,Clyde McLeod,Courtroom Spectator (uncredited),ACTOR,hulu
133900,tm89464,Charles Meakin,Courtroom Spectator (uncredited),ACTOR,hulu
571817,tm89464,Richard Neill,Courtroom Spectator (uncredited),ACTOR,hulu
572041,tm89464,Jean O'Donnell,Miss Adams (uncredited),ACTOR,hulu
57855,tm89464,Anne O'Neal,Secretary to Mr. Sawyer (uncredited),ACTOR,hulu
57856,tm89464,Harry 'Snub' Pollard,Final Mail-Bearing Court Officer (uncredited),ACTOR,hulu
57857,tm89464,Lorin Raker,Macy's Salesman (uncredited),ACTOR,hulu
28912,tm89464,Bob Reeves,Court Officer Bearing Mail (uncredited),ACTOR,hulu
25633,tm89464,Thelma Ritter,Peter's Mother (uncredited),ACTOR,hulu
57858,tm89464,Stephen Roberts,Security Guard (uncredited),ACTOR,hulu
22473,tm89464,John Roy,Court Officer Bearing Mail (uncredited),ACTOR,hulu
22482,tm89464,Jeffrey Sayre,Courtroom Reporter (uncredited),ACTOR,hulu
57859,tm89464,Irene Shirley,R.H. Macy's Secretary (uncredited),ACTOR,hulu
1572255,tm89464,Patty Smith,Alice (uncredited),ACTOR,hulu
21363,tm89464,Ray Spiker,Court Officer Bearing Mail (uncredited),ACTOR,hulu
57844,tm89464,Ann Staunton,Mrs. Mara (uncredited),ACTOR,hulu
57861,tm89464,Brick Sullivan,Guard (uncredited),ACTOR,hulu
57862,tm89464,Anthony Sydes,Peter (uncredited),ACTOR,hulu
16492,tm89464,Guy Thomajan,Lou (uncredited),ACTOR,hulu
7781,tm89464,Arthur Tovey,Patient (uncredited),ACTOR,hulu
44101,tm89464,George Seaton,,DIRECTOR,hulu
24625,tm125564,Tim Curry,Dr. Frank-N-Furter,ACTOR,hulu
5201,tm125564,Susan Sarandon,Janet Weiss,ACTOR,hulu
13492,tm125564,Barry Bostwick,Brad Majors,ACTOR,hulu
25238,tm125564,Richard O'Brien,Riff Raff,ACTOR,hulu
25239,tm125564,Patricia Quinn,Magenta,ACTOR,hulu
84461,tm125564,Nell Campbell,Columbia,ACTOR,hulu
25240,tm125564,Jonathan Adams,Dr. Everett V. Scott,ACTOR,hulu
25241,tm125564,Peter Hinwood,Rocky Horror,ACTOR,hulu
2930,tm125564,Meat Loaf,Eddie,ACTOR,hulu
12925,tm125564,Charles Gray,The Criminologist,ACTOR,hulu
477803,tm125564,Jeremy Newson,Ralph Hapschatt,ACTOR,hulu
222907,tm125564,Hilary Farr,Betty Munroe,ACTOR,hulu
225260,tm125564,Pierre Bedenes,The Transylvanians,ACTOR,hulu
41644,tm125564,Christopher Biggins,The Transylvanians,ACTOR,hulu
62416,tm125564,Gaye Brown,The Transylvanians,ACTOR,hulu
526753,tm125564,Ishaq Bux,The Transylvanians,ACTOR,hulu
990256,tm125564,Stephen Calcutt,The Transylvanians,ACTOR,hulu
990257,tm125564,Hugh Cecil,The Transylvanians,ACTOR,hulu
204614,tm125564,Imogen Claire,The Transylvanians,ACTOR,hulu
990258,tm125564,Tony Cowan,The Transylvanians,ACTOR,hulu
463162,tm125564,Sadie Corre,The Transylvanians,ACTOR,hulu
25242,tm125564,Fran Fullenwider,The Transylvanians,ACTOR,hulu
990260,tm125564,Lindsay Ingram,The Transylvanians,ACTOR,hulu
990261,tm125564,Peggy Ledger,The Transylvanians,ACTOR,hulu
470114,tm125564,Annabel Leventon,The Transylvanians,ACTOR,hulu
79022,tm125564,Anthony Milner,The Transylvanians,ACTOR,hulu
990262,tm125564,Pamela Obermeyer,The Transylvanians,ACTOR,hulu
632128,tm125564,Kimi Wong,The Transylvanians,ACTOR,hulu
534308,tm125564,Henry Woolf,The Transylvanians,ACTOR,hulu
1040195,tm125564,Lewis Alexander,Floor Show Audience (uncredited),ACTOR,hulu
1294969,tm125564,Gina Barrie,Bridesmaid (uncredited),ACTOR,hulu
713348,tm125564,Ernest Blyth,Floor Show Audience (uncredited),ACTOR,hulu
548905,tm125564,Rufus Collins,The Translyvanians,ACTOR,hulu
228823,tm125564,Megan Hanks,Bridesmaid (uncredited),ACTOR,hulu
79940,tm125564,Victor Harrington,Floor Show Audience (uncredited),ACTOR,hulu
1294975,tm125564,Mark Johnson,Wedding Guest (uncredited),ACTOR,hulu
35215,tm125564,Juba Kennerley,Floor Show Audience (uncredited),ACTOR,hulu
1294997,tm125564,Petra Leah,Bridesmaid (uncredited),ACTOR,hulu
1294983,tm125564,John Marquand,Father (uncredited),ACTOR,hulu
160064,tm125564,Koo Stark,Bridesmaid (uncredited),ACTOR,hulu
65320,tm125564,Richard Nixon,Self (archival audio / uncredited),ACTOR,hulu
25243,tm125564,Jim Sharman,,DIRECTOR,hulu
2494,tm72398,Sigourney Weaver,Ripley,ACTOR,hulu
14659,tm72398,Tom Skerritt,Dallas,ACTOR,hulu
2860,tm72398,Ian Holm,Ash,ACTOR,hulu
36193,tm72398,Yaphet Kotto,Parker,ACTOR,hulu
4824,tm72398,John Hurt,Kane,ACTOR,hulu
17094,tm72398,Veronica Cartwright,Lambert,ACTOR,hulu
7912,tm72398,Harry Dean Stanton,Brett,ACTOR,hulu
78539,tm72398,Bolaji Badejo,The Alien,ACTOR,hulu
589727,tm72398,Helen Horton,Mother (voice),ACTOR,hulu
1020483,tm72398,Roy Scammell,The Alien (uncredited),ACTOR,hulu
78541,tm72398,Eddie Powell,The Alien (uncredited),ACTOR,hulu
