id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm89464,Miracle on 34th Street,MOVIE,"Kris Kringle, seemingly the embodiment of Santa Claus, is asked to portray the jolly old fellow at Macy's following his performance in the Thanksgiving Day parade. His portrayal is so complete that many begin to question if he truly is Santa Claus, while others question his sanity.",1947,G,96,"['drama', 'comedy', 'family']",['US'],,tt0039628,7.9,51756,14.95,7.3,hulu
tm125564,The Rocky Horror Picture Show,MOVIE,"Sweethearts Brad and Janet, stuck with a flat tire during a storm, discover the eerie mansion of Dr. Frank-N-Furter, a transvestite scientist. As their innocence is lost, Brad and Janet meet a houseful of wild characters, including a rocking biker and a creepy butler. Through elaborate dances and rock songs, Frank-N-Furter unveils his latest creation: a muscular man named 'Rocky'.",1975,R,100,"['comedy', 'horror']","['GB', 'US']",,tt0073629,7.4,163232,24.757,7.472,hulu
tm72398,Alien,MOVIE,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",1979,R,117,"['horror', 'scifi']","['US', 'GB']",,tt0078748,8.5,926258,75.593,8.149,hulu
ts20413,M*A*S*H,SHOW,"The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable.",1972,TV-PG,26,"['war', 'drama', 'comedy']",['US'],11,tt0068098,8.5,61756,276.898,7.933,hulu
ts8350,20/20,SHOW,ABC's original hour-long news magazine.,1978,,63,['documentation'],['US'],28,tt0124932,6.7,2645,30.589,6.5,hulu
ts21049,The Mary Tyler Moore Show,SHOW,"30-year-old single Mary Richards moves to Minneapolis to start a new life after a romantic break-up. There she reacquaints with Phyllis who rents her a room, and meets her upstairs neighbor and new best friend Rhoda. Mary unexpectedly lands a job as associate producer at the TV station WJM, where she works alongside her bristly boss, Lou; the comical newswriter, Murray; and the newscast's often-incompetent anchor, Ted.",1970,TV-PG,28,['comedy'],['US'],7,tt0065314,8.3,9858,291.885,7.5,hulu
tm96754,Capricorn One,MOVIE,"In order to protect the reputation of the American space program, a team of NASA administrators turn the first Mars mission into a phony Mars landing. Under threat of harm to their families the astronauts play their part in the deception on a staged set in a deserted military base. But once the real ship returns to Earth and burns up on re-entry, the astronauts become liabilities. Now, with the help of a crusading reporter, they must battle a sinister conspiracy that will stop at nothing to keep the truth hidden.",1977,PG,123,"['scifi', 'drama', 'thriller', 'action']","['US', 'GB']",,tt0077294,6.8,24130,15.067,6.8,hulu
ts35227,General Hospital,SHOW,"Families, friends, enemies and lovers experience life-changing events in the large upstate New York city of Port Charles, which has a busy hospital, upscale hotel, cozy diner and dangerous waterfront frequented by the criminal underworld.",1963,TV-14,37,"['romance', 'crime', 'drama']",['US'],18,tt0196249,6.6,5370,305.19,5.668,hulu
ts22579,Lost in Space,SHOW,"The space family Robinson is sent on a five-year mission to find a new planet to colonise. The voyage is sabotaged time and again by an inept stowaway, Dr. Zachary Smith. The family's spaceship, Jupiter II, also carries a friendly robot who endures an endless stream of abuse from Dr. Smith, but is a trusted companion of young Will Robinson",1965,TV-PG,50,"['scifi', 'comedy', 'family', 'fantasy']",['US'],3,tt0302156,5.4,8,124.598,7.115,hulu
tm14639,The Boston Strangler,MOVIE,"Boston is being terrorized by a series of seemingly random murders of women. Based on the true story, the film follows the investigators path through several leads before introducing the Strangler as a character. It is seen almost exclusively from the point of view of the investigators who have very few clues to build a case upon.",1968,R,116,"['thriller', 'drama', 'crime']",['US'],,tt0062755,7.1,10522,9.692,6.8,hulu
